title,upload_date,views,likes,comments,introduction
What's Virtual Memory? - Computerphile,2022-06-11,130497,4313,322,"With the news Apple are implementing Virtual Memory on the iPad, Dr Steve Bagley takes us through what virtual memory is and how it works. Extra Bits: 
https://youtu.be/OJKnPCvAPIQ
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Why Information Theory is Important - Computerphile,2022-05-26,115513,5141,144,"Zip files & error correction depend on information theory, Tim Muller takes us through how Claude Shannon's early Computer Science work is still essential today!
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Breaking RSA - Computerphile,2022-05-11,266752,10000,372,"If you pick the wrong prime numbers, cracking RSA becomes a cinch. Dr Mike Pound explains the findings of researcher Hanno BöckARS Technica Article: 
https://bit.ly/C_BReakingRSa_Article
 Hanno's Blog: 
https://bit.ly/C_HannoRSA
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
How WiFi Works - Computerphile,2022-05-03,169580,5954,204,"Why do WiFI speeds vary so much? Dr Steve Bagley demonstrates how even a poor signal for one person can affect those with a seemingly perfect signal!
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Psychic Signatures (Java Vulnerability) - Computerphile,2022-04-23,168620,6091,328,"The psychic paper in the TV show ""Doctor Who"" displays whatever the Doctor needs it to show at any given time. The Java vulnerability Neil Madden exposed is a digital version of this. Dr Mike Pound explains.Neil Madden's blog: 
https://neilmadden.blog/2022/04/19/ps...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Square & Multiply Algorithm - Computerphile,2022-04-15,219109,8726,381,"How do you compute a massive number raised to the power of another huge number, modulo something else? Dr Mike Pound explains the super-quick square & multiply algorithm.Numberphile's Witness Numbers video which inspired Mike: 
https://www.youtube.com/watch?v=_MscG...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Automating Boston Dynamics Spot Robot - Computerphile,2022-04-06,83572,2985,295,"Could robots like this be sent into nuclear facilities to autonomously deal with toxic waste? That's the plan. Nick & Michal from Oxford Robotics Institute demonstrate & explain their automation of the familiar yellow robot 'spot.'The project was the result of a collaboration between the Oxford Robotics Institute (particularly the DRS and GOALS groups) and Createc (createc.co.uk), and was supported by UKRI through the ISCF RAIN and ORCA Hubs, the AutoInspect project, and the EPSRC Programme Grant in Embodied Intelligence.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
High Level Languages & the IBM 360 Series - Computerphile,2022-03-31,80634,3040,178,"The Mythical Man Month wasn't just about project management! The Professor continues this tale from the 1960's & asks ""Could IBM have used high-level languages to write the Operating System for their new 360 series machines?""Adoption of C (fourth time lucky!) as the higher-level language for writing the OS kernel of UNIX is told by Ken Thompson, at VCF East 2019: 
https://bit.ly/C_Kern_Thom_VCFEast2019
 Special thanks to Clem Cole and RichardInParis for much extra background information on 360 hardware and software
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Teamwork & Git - Computerphile,2022-03-25,89677,3133,254,"Computer says no! What if two team members try to edit the same file in a project? Git has you covered - Dr Max Wilson explains how teams collaborate using Git. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Apple M1 Ultra & NUMA - Computerphile,2022-03-19,242318,9351,404,"Apple's latest M1 chip is two older chips bolted together, Dr. Steve Bagley explains how they made it work the same as a single chip. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Mythical Man Month - Computerphile,2022-03-09,120279,4908,337,"Many will have heard the phrase 'Mythical Man Month' and assume it's simply about whether manpower and time are interchangeable - the book is really about much more. Professor Brailsford explains how this all relates to the humble byteWhere the byte came from: 
https://www.youtube.com/watch?v=ixJCo...
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Internet Congestion Collapse - Computerphile,2022-03-05,86828,3192,196,"Remembering a time when connections were down to 40 bits per second, and the resulting algorithms still in use today!  Dr Richard G Clegg of Queen Mary University London has the details. Paper mentioned by Richard: 
https://bit.ly/C_CongestionCollapse
 V. Jacobson.  Congestion avoidance and control. SIGCOMM Comput. Commun. Rev. 18, 4 (August 1988), 314–329. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Git Version Control _final_new_final.new - Computerphile,2022-02-26,56648,1874,124,"Continuing our look at Git, Dr Max Wilson has a quick look at versions and branches. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Inside the Hidden Git Folder - Computerphile,2022-02-11,180340,6244,334,"Git doesn't actually perform magic, but it's pretty neat. Dr Max Wilson takes us through the various elements that make Git such a useful tool. NB at some point in this video I inserted some b-roll recorded via my raspberry pi and yes I used sudo where it wasn't required so sue(do) me! Sean
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Metaverse is 30yrs old - Why Facebook is late to the party - Computerphile,2022-01-28,84321,2165,436,"The Mixed Reality lab at the University of Nottingham has been studying virtual and augmented reality for decades. We chatted to Steve Benford, Paul Tennent & Edgar Bodiaj from the Mixed Reality Lab & Kate Wellham from Live Cinema about their system 'Bubbles' and how it fits with the current state of VR and the benefits over Zoom & Teams meetings. The VR environment shown in the video is not Meta/Facebook's 'Metaverse', it is a virtual environment created by the mixed reality lab at the University of Nottingham, used here to illustrate some of the benefits of VR over traditional online meetings.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
K-d Trees - Computerphile,2022-01-22,186082,6114,239,"One of the cleanest ways to cut down a search space when working out point proximity! Mike Pound explains K-Dimension Trees.EXTRA BITS: 
https://youtu.be/uP20LhbHFBo
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Man in the Middle & Needham–Schroeder Protocol - Computerphile,2022-01-07,63882,2191,157,"There's a reason Needham–Schroeder isn't used any more - Tim Muller demonstrates the weakness in the technique. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Git Overview - Computerphile,2021-12-31,174024,5959,395,"One of the most useful tools in code development, Git protects your code from yourself and others! Dr Max Wilson gives us an overview.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Log4J & JNDI Exploit: Why So Bad? - Computerphile,2021-12-23,462832,15000,1153,"The ""most critical vulnerability of the last decade?"" - Dr Bagley and Dr Pound explain why it's so pervasive, and even affected Mike's own code! 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Joining Point Cloud Scans (ICP) - Computerphile,2021-12-16,113897,4143,238,"You've scanned a room or object and now you have lots of discrete scans you want to fit together. Dr Mike Pound explains how the Iterative Closest Point Algorithm is used.Stanford graphics resources: 
http://graphics.stanford.edu/data/3Ds...
 Mesh Lab:
https://www.meshlab.net/
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Sinclair Software & Manuals - Computerphile,2021-12-01,48853,1525,79,"The Spectrum kick started an entire generation of computer coders. Dr Steve Vickers was involved in developing software for both the ZX81 and Spectrum, he even wrote the manuals!EXTRA BITS - Dr Vickers on The Jupiter Ace : 
https://youtu.be/cbAOqHEWSWg
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Discussing System On Chip (SoC) - Computerphile,2021-11-23,186067,6109,307,"With the hype around Apple's M1 chip, Dr Steve Bagley discusses what the big deal is with the system on chip approach to building computers - spoiler, it's not a new thing!
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Depth Camera - Computerphile,2021-11-11,207603,7839,260,"Depth can be a useful addition to image data. Mike Pound shows off a realsense camera and explains how it can help with Deep Learning
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Superposition in Quantum Computers - Computerphile,2021-10-27,167316,8731,689,"Parting the veil of mystery on quantum superposition using waves. Professor Phil Moriarty takes us through it. Phil's blogpost on the subject: 
https://muircheartblog.wpcomstaging.c...
 This video was formerly called What is Quantum Superposition?
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
WiFi's Hidden ____ Problem - Computerphile,2021-10-20,582870,21000,1007,"We've all got to the edge of the wifi coverage, but the idea of coverage produces a network problem, the Hidden Node Problem. Dr Steve Bagley explains.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Saving the Universe (Simulation) - Computerphile,2021-10-15,87541,3460,177,"If your job involves simulating the creation of the universe, you're going to need a big computer. Dr Julian Onions on the practicalities of saving your universe simulation when it's terabytes in size, and in a different country!
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Why Did Facebook Go Down? - Computerphile,2021-10-06,874964,34000,2174,"Just what was it that took Facebook, Instagram & WhatsApp offline on 4th October 2021? - Dr Steve Bagley investigates!previously titled ""Facebook's Day Off""Facebook announcement on the outage: 
https://bit.ly/C_FB-Outage
 The visualisation software Steve was using was BGP play, downloaded from the RIPE website.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Sir Clive Sinclair & British Computer Revolution - Computerphile,2021-09-24,63723,2552,175,"Sinclair Computers drove a computing revolution in the UK. At last you could purchase a computer for less than £100 (Approx. $230 in 1980) RIP Sir Clive Sinclair, the man behind the ZX80, ZX81 & ZX Spectrum (30 July 1940 – 16 September 2021)Thanks to The Centre for Computing History, CambridgeThanks to the National Videogame Museum, SheffieldAdditional thanks to Spencer Owen @zxspectROM for Sinclair help and to Hrvoje Cavrak for his Sir Clive graphic. Computerphile videos referenced:Video Game Legends: 
https://youtu.be/t-tO7vx1rw4
 People's Computer: Sinclair ZX81: 
https://youtu.be/SFAWHB2BKOg
 Festive Flashing Lights: 
https://youtu.be/o2RFdQMi4mg
 Wobbly RAM & ZX81 Drawbacks: 
https://youtu.be/C9DB3w-Syfs
 Game Physics (in Assembler): 
https://youtu.be/Kalmryn9_sE
 Sinclair & the ZX Spectrum: 
https://youtu.be/YxnojyQSpCE
 Atari 2600 VCS Programming: 
https://youtu.be/fce39nQm9TY
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Bit Blit Algorithm (Amiga Blitter Chip) - Computerphile,2021-09-18,102956,3095,271,"The Bit Blit algorithm dates back to Xerox PARC, but was famously used to sell the Amiga home computer among others. Dr Steve Bagley takes us through how it works. This is a re-upload due to an audio problem on the earlier edit -Sean
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Random Numbers with LFSR (Linear Feedback Shift Register) - Computerphile,2021-09-10,259061,10000,496,"A simple bit-shift operation can generate amazing random strings of numbers. Dr Mike Pound explains then codes it in Python.If you want to know more about how XOR works: 
https://www.youtube.com/watch?v=VPw9v...
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Programming with Proofs - Computerphile,2021-09-04,71208,1710,205,"Continuing our look at the Agda programming language, Professor Thorsten Altenkirch shows us how you can work with proofs, which could be invaluable in some industrial situations.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Hacking Out of a Network - Computerphile,2021-08-27,204221,7278,428,"Multiple ways to break through restrictions in a network* demonstrated by Dr Richard G Clegg of Queen Mary University London.*Please only try these methods on machines where you have permission.Richard has kindly prepared some notes: 
https://bit.ly/C_RichCleg_HackOut
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Eliminating Run-Time Errors with Agda - Computerphile,2021-08-20,60382,1802,396,"A language designed to eliminate run-time errors? Professor Thorsten Altenkirch demonstrates programming Type Theory with Agda.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
Dealing With Big Data - Computerphile,2021-08-13,72434,2939,179,"Big Data sounds like a buzz word, and is hard to quantify, but the problems with large data sets are very real. Dr Isaac Triguero explains some of the challenges. 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
(Not) Discussing the Web @ 30 Years Old - Computerphile,2021-08-06,58401,2628,174,"When the World Wide Web was born, there was no World Wide Web, so it took a while before it was widely adopted. Professor Brailsford takes us through what he was up to in 1991.
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
The Hardest Problem in Type Theory - Computerphile,2021-07-31,118429,3534,310,"Equality sounds a straightforward idea, but there are subtle problems in theoretical computer science. Professor Thorsten Altenkirch explains how his late friend Martin Hofmann solved one of the biggest problems. More of Thorsten on Type Theory: 
https://bit.ly/C_Thor_playlist
 Thorsten's paper dedicated to Martin: 
https://bit.ly/C_Thor_Paper
 
https://www.facebook.com/computerphile
https://twitter.com/computer_phile
This video was filmed and edited by Sean Riley.Computer Science at the University of Nottingham: 
https://bit.ly/nottscomputer
Computerphile is a sister project to Brady Haran's Numberphile. More at 
http://www.bradyharan.com"
